gpa:3.61, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.94, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.65, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.82, gre:600.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.18, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.32, gre:560.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.67, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.85, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:4.0, gre:580.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.59, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.62, gre:740.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.3, gre:620.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.69, gre:580.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.73, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.92, gre:300.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.39, gre:480.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.45, gre:720.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.36, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.12, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:620.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.9, gre:700.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.07, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.71, gre:500.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.91, gre:380.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.6, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:2.98, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.32, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.48, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.28, gre:700.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.83, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.64, gre:720.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.9, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.93, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.44, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.33, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.52, gre:640.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.57, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.88, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.31, gre:400.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.15, gre:340.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.57, gre:580.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.33, gre:380.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.94, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.95, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.97, gre:740.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.56, gre:700.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.13, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.93, gre:400.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.45, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.08, gre:680.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.41, gre:420.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.0, gre:360.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.22, gre:600.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.84, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.99, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.45, gre:440.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.72, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.7, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.92, gre:340.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.74, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.67, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.85, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.98, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.88, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.38, gre:540.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.54, gre:600.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.74, gre:740.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.19, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.15, gre:460.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.17, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.79, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.08, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.95, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.57, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.33, gre:560.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:700.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.58, gre:600.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.93, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.52, gre:700.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.94, gre:620.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.4, gre:580.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:580.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.43, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.71, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.91, gre:480.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.31, gre:740.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.74, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.38, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.94, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.46, gre:580.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.69, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.86, gre:580.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:2.52, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.58, gre:480.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.49, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.82, gre:700.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.13, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.5, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.56, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.73, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.3, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:700.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.24, gre:440.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.77, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.62, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.51, gre:400.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.81, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.48, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.43, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.53, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.37, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.62, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.23, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.33, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.01, gre:300.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.78, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.88, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.84, gre:540.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.79, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.6, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.61, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.88, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.07, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.35, gre:500.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.94, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.54, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.76, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.59, gre:380.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.47, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.59, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.07, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.23, gre:400.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.63, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.77, gre:580.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.31, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.2, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:4.0, gre:700.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.92, gre:420.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.89, gre:600.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.8, gre:780.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.54, gre:740.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.63, gre:640.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.16, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.5, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.34, gre:740.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.02, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.87, gre:460.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.38, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.56, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.91, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:2.9, gre:340.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.64, gre:460.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.98, gre:460.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.59, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.28, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.99, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.02, gre:480.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.47, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.9, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.5, gre:720.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.58, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.02, gre:540.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.43, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.42, gre:720.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.29, gre:580.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.28, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.38, gre:380.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.67, gre:420.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.53, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.05, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.49, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:4.0, gre:480.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.86, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.45, gre:700.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.76, gre:440.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.81, gre:520.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.96, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.22, gre:620.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.04, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.91, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.34, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.17, gre:440.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.64, gre:680.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.73, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.31, gre:660.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.21, gre:620.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:4.0, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.55, gre:540.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.52, gre:740.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.35, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.3, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.95, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.51, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.81, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.11, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.15, gre:440.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.19, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.95, gre:620.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.9, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.34, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.24, gre:560.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.64, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.46, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.81, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.95, gre:640.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.33, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.67, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.32, gre:660.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.12, gre:520.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.98, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.77, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.58, gre:580.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.0, gre:680.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.14, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.94, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.27, gre:360.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.45, gre:660.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.1, gre:520.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
